nome,preco,loja_nome ,img_link
Computador Cpu  Hp Elite 8100 I5 4gb 500gb,1170.0,,"https://http2.mlstatic.com/computador-cpu-hp-elite-8100-i5-4gb-500gb-D_NQ_NP_868906-MLB28796218548_112018-F.jpg,https://http2.mlstatic.com/computador-cpu-hp-elite-8100-i5-4gb-500gb-D_NQ_NP_934765-MLB28155824395_092018-F.jpg,https://http2.mlstatic.com/computador-cpu-hp-elite-8100-i5-4gb-500gb-D_NQ_NP_701924-MLB29013514858_122018-F.jpg"
Computador Cpu Gamer I3 3.0 4gb 500gb Placa De Video  2gb,1299.0,,"https://http2.mlstatic.com/computador-cpu-gamer-i3-30-4gb-500gb-placa-de-video-2gb-D_NQ_NP_516101-MLB20271945573_032015-F.jpg,https://http2.mlstatic.com/computador-cpu-gamer-i3-30-4gb-500gb-placa-de-video-2gb-D_NQ_NP_216101-MLB20271945605_032015-F.jpg"
Computador Rc-8400 4gb Ram /500gb Hd Bematech,999.9,,"https://http2.mlstatic.com/computador-rc-8400-4gb-ram-500gb-hd-bematech-D_NQ_NP_733494-MLB28147325051_092018-F.jpg,https://http2.mlstatic.com/computador-500gb-bematech-D_NQ_NP_955914-MLB25916552739_082017-F.jpg,https://http2.mlstatic.com/500gb-bematech-computador-D_NQ_NP_783097-MLB25916550713_082017-F.jpg,https://http2.mlstatic.com/computador-rc-8400-4gb-ram-500gb-hd-bematech-D_NQ_NP_958715-MLB25916552772_082017-F.jpg"
Cpu Dell Optplex 755 Core 2 Duo 2.9ghz 4gb Hd 80 #maisbarato,549.99,,"https://http2.mlstatic.com/cpu-dell-optplex-755-core-2-duo-29ghz-4gb-hd-80-maisbarato-D_NQ_NP_856290-MLB25929473540_082017-F.jpg,https://http2.mlstatic.com/cpu-dell-optplex-755-core-2-duo-29ghz-4gb-hd-80-maisbarato-D_NQ_NP_914494-MLB25929433476_082017-F.jpg"
"Computador Hp 8200 Com Monitor 18,5 Core I5 4gb 500hd",1600.0,,"https://http2.mlstatic.com/computador-hp-8200-com-monitor-185-core-i5-4gb-500hd-D_NQ_NP_854663-MLB28796397863_112018-F.jpg,https://http2.mlstatic.com/computador-com-core-D_NQ_NP_886594-MLB28708672285_112018-F.jpg,https://http2.mlstatic.com/com-core-computador-D_NQ_NP_632178-MLB28708672289_112018-F.jpg,https://http2.mlstatic.com/computador-hp-8200-com-monitor-185-core-i5-4gb-500hd-D_NQ_NP_962055-MLB28708672287_112018-F.jpg,https://http2.mlstatic.com/computador-com-core-D_NQ_NP_918315-MLB28708672288_112018-F.jpg,https://http2.mlstatic.com/com-core-computador-D_NQ_NP_958597-MLB29013600055_122018-F.jpg"
Cpu Nova Intel Core I5 8gb Ddr3 Hd 500gb + Office Windows 10,1200.0,,https://http2.mlstatic.com/intel-core-500gb-D_NQ_NP_754410-MLB26990361069_032018-F.jpg
Pc Gamer Completo Teclado E Mouse Gamer Headset Monitor 20,2149.0,,"https://http2.mlstatic.com/pc-gamer-completo-teclado-e-mouse-gamer-headset-monitor-20-D_NQ_NP_672008-MLB28147127840_092018-F.jpg,https://http2.mlstatic.com/pc-gamer-completo-teclado-e-mouse-gamer-headset-monitor-20-D_NQ_NP_952581-MLB27506918444_062018-F.jpg,https://http2.mlstatic.com/pc-gamer-completo-teclado-e-mouse-gamer-headset-monitor-20-D_NQ_NP_987719-MLB27506534285_062018-F.jpg,https://http2.mlstatic.com/pc-gamer-completo-teclado-e-mouse-gamer-headset-monitor-20-D_NQ_NP_609607-MLB27506538686_062018-F.jpg,https://http2.mlstatic.com/pc-gamer-completo-teclado-e-mouse-gamer-headset-monitor-20-D_NQ_NP_997544-MLB27506538636_062018-F.jpg,https://http2.mlstatic.com/pc-gamer-completo-teclado-e-mouse-gamer-headset-monitor-20-D_NQ_NP_827362-MLB27506516953_062018-F.jpg,https://http2.mlstatic.com/pc-gamer-completo-teclado-e-mouse-gamer-headset-monitor-20-D_NQ_NP_644445-MLB27506625514_062018-F.jpg,https://http2.mlstatic.com/pc-gamer-completo-teclado-e-mouse-gamer-headset-monitor-20-D_NQ_NP_657595-MLB27506635605_062018-F.jpg,https://http2.mlstatic.com/pc-gamer-completo-teclado-e-mouse-gamer-headset-monitor-20-D_NQ_NP_913728-MLB27506567136_062018-F.jpg,https://http2.mlstatic.com/pc-gamer-completo-teclado-e-mouse-gamer-headset-monitor-20-D_NQ_NP_991847-MLB28147145159_092018-F.jpg"
Cpu Nova Core 2 Duo 3.0 4gb Hd 500gb Dvd Wifi C/ Windows 10,689.99,,https://http2.mlstatic.com/core-duo-500gb-D_NQ_NP_754410-MLB26990361069_032018-F.jpg
Cpu Completa E8400 3.0   8gb Hd320+ Monitor 17,799.99,,"https://http2.mlstatic.com/cpu-completa-e8400-30-8gb-hd320-monitor-17-D_NQ_NP_100121-MLB20695511418_052016-F.jpg,https://http2.mlstatic.com/cpu-completa-e8400-30-8gb-hd320-monitor-17-D_NQ_NP_168021-MLB20695513195_052016-F.jpg,https://http2.mlstatic.com/cpu-completa-e8400-30-8gb-hd320-monitor-17-D_NQ_NP_151021-MLB20695511440_052016-F.jpg"
Pc Gamer Maximus I5 Gts 450 Hd1tb Monitor 18.5+ Kit,2999.0,,"https://http2.mlstatic.com/pc-gamer-maximus-i5-gts-450-hd1tb-monitor-185-kit-D_NQ_NP_958701-MLB29035664987_122018-F.jpg,https://http2.mlstatic.com/pc-gamer-maximus-i5-gts-450-hd1tb-monitor-185-kit-D_NQ_NP_760923-MLB28911288046_122018-F.jpg,https://http2.mlstatic.com/pc-gamer-maximus-i5-gts-450-hd1tb-monitor-185-kit-D_NQ_NP_998011-MLB29035684745_122018-F.jpg,https://http2.mlstatic.com/pc-gamer-maximus-i5-gts-450-hd1tb-monitor-185-kit-D_NQ_NP_937738-MLB29035679302_122018-F.jpg,https://http2.mlstatic.com/pc-gamer-maximus-i5-gts-450-hd1tb-monitor-185-kit-D_NQ_NP_901451-MLB29035669428_122018-F.jpg,https://http2.mlstatic.com/pc-gamer-maximus-i5-gts-450-hd1tb-monitor-185-kit-D_NQ_NP_788941-MLB28911274135_122018-F.jpg,https://http2.mlstatic.com/pc-gamer-maximus-i5-gts-450-hd1tb-monitor-185-kit-D_NQ_NP_722396-MLB28911294003_122018-F.jpg,https://http2.mlstatic.com/pc-gamer-maximus-i5-gts-450-hd1tb-monitor-185-kit-D_NQ_NP_969883-MLB28911274138_122018-F.jpg"
