nome,preco,loja_nome ,img_link
"Balde Oleo De Coco 3,2 Litros Extra Virgem Copra",140.0,,"https://http2.mlstatic.com/balde-oleo-de-coco-32-litros-extra-virgem-copra-D_NQ_NP_676790-MLB26006683065_092017-F.jpg,https://http2.mlstatic.com/balde-oleo-de-coco-32-litros-extra-virgem-copra-D_NQ_NP_659326-MLB26006677145_092017-F.jpg,https://http2.mlstatic.com/balde-oleo-de-coco-32-litros-extra-virgem-copra-D_NQ_NP_923769-MLB25568508225_052017-F.jpg"
Combo Whey Protein Mass17500 Bcaa Creatina Max Todos Sabores,124.99,,"https://http2.mlstatic.com/combo-whey-protein-mass17500-bcaa-creatina-max-todos-sabores-D_NQ_NP_852171-MLB25618490903_052017-F.jpg,https://http2.mlstatic.com/whey-protein-max-D_NQ_NP_896343-MLB28882219913_122018-F.jpg,https://http2.mlstatic.com/protein-max-whey-D_NQ_NP_695535-MLB28882267635_122018-F.jpg,https://http2.mlstatic.com/combo-whey-protein-mass17500-bcaa-creatina-max-todos-sabores-D_NQ_NP_801202-MLB28882267653_122018-F.jpg,https://http2.mlstatic.com/whey-protein-max-D_NQ_NP_916645-MLB28882284549_122018-F.jpg"
20 X 100% Pure Whey Protein 825g  Refil - Probiótica,1139.99,,"https://http2.mlstatic.com/20-x-100-pure-whey-protein-825g-refil-probiotica-D_NQ_NP_904771-MLB27999021605_082018-F.jpg,https://http2.mlstatic.com/whey-protein-probiotica-D_NQ_NP_699355-MLB27999022113_082018-F.jpg,https://http2.mlstatic.com/protein-probiotica-whey-D_NQ_NP_682468-MLB27999022118_082018-F.jpg,https://http2.mlstatic.com/20-x-100-pure-whey-protein-825g-refil-probiotica-D_NQ_NP_849934-MLB28385418915_102018-F.jpg,https://http2.mlstatic.com/whey-protein-probiotica-D_NQ_NP_663425-MLB28598851162_112018-F.jpg"
6x Magnésio Dimalato Puro Meissen 500mg Meissen - 360 Caps,120.0,,"https://http2.mlstatic.com/6x-magnesio-dimalato-puro-meissen-500mg-meissen-360-caps-D_NQ_NP_887655-MLB28280162154_102018-F.jpg,https://http2.mlstatic.com/6x-magnesio-dimalato-puro-meissen-500mg-meissen-360-caps-D_NQ_NP_695773-MLB28231790558_092018-F.jpg,https://http2.mlstatic.com/6x-magnesio-dimalato-puro-meissen-500mg-meissen-360-caps-D_NQ_NP_919373-MLB28231790557_092018-F.jpg,https://http2.mlstatic.com/6x-magnesio-dimalato-puro-meissen-500mg-meissen-360-caps-D_NQ_NP_697056-MLB28231790556_092018-F.jpg,https://http2.mlstatic.com/6x-magnesio-dimalato-puro-meissen-500mg-meissen-360-caps-D_NQ_NP_694365-MLB28231790559_092018-F.jpg"
Kit 2 100% Pure Whey 825g + Bcaa Plus + Creatina Probiótica,198.93,,"https://http2.mlstatic.com/kit-2-100-pure-whey-825g-bcaa-plus-creatina-probiotica-D_NQ_NP_710422-MLB28974320145_122018-F.jpg,https://http2.mlstatic.com/kit-2-100-pure-whey-825g-bcaa-plus-creatina-probiotica-D_NQ_NP_897737-MLB28974309591_122018-F.jpg,https://http2.mlstatic.com/kit-2-100-pure-whey-825g-bcaa-plus-creatina-probiotica-D_NQ_NP_819162-MLB28974260393_122018-F.jpg,https://http2.mlstatic.com/kit-2-100-pure-whey-825g-bcaa-plus-creatina-probiotica-D_NQ_NP_980805-MLB28974273815_122018-F.jpg,https://http2.mlstatic.com/kit-2-100-pure-whey-825g-bcaa-plus-creatina-probiotica-D_NQ_NP_988725-MLB28974238995_122018-F.jpg,https://http2.mlstatic.com/kit-2-100-pure-whey-825g-bcaa-plus-creatina-probiotica-D_NQ_NP_734713-MLB28974261870_122018-F.jpg"
Lipo 6 Black Nutrex 60caps Termogênico Eua Original,119.49,,https://http2.mlstatic.com/lipo-6-black-nutrex-60caps-termognico-eua-original-D_NQ_NP_913287-MLB27328657534_052018-F.jpg
Multivitamínico De A-z Newnutrition 120 Tabs Pronta Entrega!,42.97,,"https://http2.mlstatic.com/multivitaminico-de-a-z-newnutrition-120-tabs-pronta-entrega-D_NQ_NP_639292-MLB27155953073_042018-F.jpg,https://http2.mlstatic.com/multivitaminico-de-a-z-newnutrition-120-tabs-pronta-entrega-D_NQ_NP_831178-MLB27162059330_042018-F.jpg"
Simfort Probiótico - Vitafor - 30 Sachês -entrega Imediata,71.0,,"https://http2.mlstatic.com/simfort-probiotico-vitafor-30-sachs-entrega-imediata-D_NQ_NP_864486-MLB26750427182_022018-F.jpg,https://http2.mlstatic.com/simfort-probiotico-vitafor-30-sachs-entrega-imediata-D_NQ_NP_260615-MLB25261206942_012017-F.jpg,https://http2.mlstatic.com/simfort-probiotico-vitafor-30-sachs-entrega-imediata-D_NQ_NP_575711-MLB20621719317_032016-F.jpg"
Óleo De Coco 100% Extra Virgem Balde De 5 Litros Lauricoco,157.4,,"https://http2.mlstatic.com/oleo-de-coco-100-extra-virgem-balde-de-5-litros-lauricoco-D_NQ_NP_997050-MLB27077339265_032018-F.jpg,https://http2.mlstatic.com/oleo-de-coco-100-extra-virgem-balde-de-5-litros-lauricoco-D_NQ_NP_935802-MLB27231905015_042018-F.jpg,https://http2.mlstatic.com/oleo-de-coco-100-extra-virgem-balde-de-5-litros-lauricoco-D_NQ_NP_631931-MLB27231889354_042018-F.jpg,https://http2.mlstatic.com/oleo-de-coco-100-extra-virgem-balde-de-5-litros-lauricoco-D_NQ_NP_705380-MLB28630577270_112018-F.jpg,https://http2.mlstatic.com/oleo-de-coco-100-extra-virgem-balde-de-5-litros-lauricoco-D_NQ_NP_714339-MLB28630556811_112018-F.jpg,https://http2.mlstatic.com/oleo-de-coco-100-extra-virgem-balde-de-5-litros-lauricoco-D_NQ_NP_641353-MLB28630602717_112018-F.jpg,https://http2.mlstatic.com/oleo-de-coco-100-extra-virgem-balde-de-5-litros-lauricoco-D_NQ_NP_917105-MLB27231818445_042018-F.jpg"
Kimera Termogenico 60 Comprimidos - Iridium Labs,47.9,,"https://http2.mlstatic.com/kimera-termogenico-60-comprimidos-iridium-labs-D_NQ_NP_998125-MLB25382413347_022017-F.jpg,https://http2.mlstatic.com/kimera-termogenico-60-comprimidos-iridium-labs-D_NQ_NP_750125-MLB25382452308_022017-F.jpg"
